ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Chamomile Extract, Phenoxyethanol","['Water', 'Chamomile Extract']",['Phenoxyethanol'],"Preservative detected, might cause mild irritation.",Moderate,Low,Pending
"Aloe Vera, Organic Coconut Oil, Vitamin E","['Aloe Vera', 'Organic Coconut Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Organic Shea Butter, Oat Extract, Fragrance","['Organic Shea Butter', 'Oat Extract']",['Fragrance'],"Contains fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Water, Alcohol, Triclosan",['Water'],"['Alcohol', 'Triclosan']","Triclosan detected, potential endocrine disruptor.",High,Moderate,Banned
"Organic Coconut Oil, Arrowroot Powder, Baking Soda","['Organic Coconut Oil', 'Arrowroot Powder', 'Baking Soda']",[],Fully natural ingredients.,Low,Low,Approved
"Glycerin, Aloe Vera, Synthetic Fragrance","['Glycerin', 'Aloe Vera']",['Synthetic Fragrance'],Contains synthetic fragrance.,Moderate,Moderate,Pending
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Brown Rice, Sunflower Oil, Rosemary Extract","['Brown Rice', 'Sunflower Oil']",['Rosemary Extract'],"Mostly natural, minimal processing.",Low,Low,Approved
"Soy Lecithin, Artificial Colors, High Fructose Corn Syrup",['Soy Lecithin'],"['Artificial Colors', 'High Fructose Corn Syrup']",Contains artificial additives and sweeteners.,High,High,Banned
"Organic Lentils, Olive Oil, Ascorbic Acid","['Organic Lentils', 'Olive Oil']",['Ascorbic Acid'],"Mostly natural, includes a preservative.",Low,Low,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Propylene Glycol, Artificial Fragrance",['Water'],"['Propylene Glycol', 'Artificial Fragrance']",May cause irritation due to synthetic fragrance.,Moderate,Moderate,Pending
"Shea Butter, Cocoa Butter, Synthetic Dyes","['Shea Butter', 'Cocoa Butter']",['Synthetic Dyes'],Contains artificial coloring agents.,Moderate,Moderate,Pending
"Aloe Vera, Retinol, Alcohol",['Aloe Vera'],"['Retinol', 'Alcohol']",Retinol may cause skin irritation.,Moderate,High,Approved
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
